experiment_id, actualImage, before_data_and_weigths_rotation_prediction, before_data_and_weigths_rotation_confidence, after_data_and_before_weigths_rotation_prediction, after_data_and_before_weigths_rotation_confidence, before_data_and_after_weigths_rotation_prediction, before_data_and_after_weigths_rotation_confidence, after_data_and_weigths_rotation_prediction, after_data_and_weigths_rotation_confidence, after_data_and_before_weigths_rotation_prediction_match, after_data_and_before_weigths_rotation_confidence_change, before_data_and_after_weigths_rotation_prediction_match, before_data_and_after_weigths_rotation_confidence_change, after_data_and_weigths_rotation_prediction_match, after_data_and_weigths_rotation_confidence_change
          306,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          307,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          308,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 1,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          309,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          310,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 0,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          311,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , 0.000000                                                , true                                            ,                                          0.000000
          312,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , 0.000000                                                , true                                            ,                                          0.000000
          313,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , 0.000000                                                , true                                            ,                                          0.000000
          314,           3,                                           3,                                    1.000000,                                                 0,                                          1.000000,                                                 5,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          315,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , 0.000000                                                , true                                            ,                                          0.000000
          316,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          317,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          318,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 7,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          319,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          320,           3,                                           3,                                    1.000000,                                                 0,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          321,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          322,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 4,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          323,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 5,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          324,           3,                                           3,                                    1.000000,                                                 0,                                          1.000000,                                                 7,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          325,           3,                                           3,                                    1.000000,                                                 5,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          326,           3,                                           3,                                    1.000000,                                                 1,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          327,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          328,           3,                                           3,                                    1.000000,                                                 0,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          329,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , 0.000000                                                , true                                            ,                                          0.000000
          330,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          331,           3,                                           3,                                    1.000000,                                                 8,                                          1.000000,                                                 0,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          332,           3,                                           3,                                    1.000000,                                                 0,                                          1.000000,                                                 0,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          333,           3,                                           3,                                    1.000000,                                                 8,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          334,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          335,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 3,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , 0.000000                                                , true                                            ,                                          0.000000
          336,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 0,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          337,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 0,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          338,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          339,           3,                                           3,                                    1.000000,                                                 8,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          340,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          341,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          342,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 7,                                          0.999925,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , -0.000075                                               , true                                            ,                                          0.000000
          343,           3,                                           3,                                    1.000000,                                                 0,                                          1.000000,                                                 3,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , 0.000000                                                , true                                            ,                                          0.000000
          344,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          0.999999,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , -0.000001                                               , true                                            ,                                          0.000000
          345,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , 0.000000                                                , true                                            ,                                          0.000000
          346,           3,                                           3,                                    1.000000,                                                 5,                                          1.000000,                                                 0,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          347,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          348,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 5,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          349,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 0,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          350,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 0,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          351,           3,                                           3,                                    1.000000,                                                 5,                                          1.000000,                                                 5,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          352,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 4,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          353,           3,                                           3,                                    1.000000,                                                 5,                                          1.000000,                                                 0,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          354,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          355,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          356,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          357,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 3,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , 0.000000                                                , true                                            ,                                          0.000000
          358,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , true                                                   , 0.000000                                                , true                                            ,                                          0.000000
          359,           3,                                           3,                                    1.000000,                                                 6,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          360,           3,                                           3,                                    1.000000,                                                 5,                                          1.000000,                                                 5,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          361,           3,                                           3,                                    1.000000,                                                 8,                                          1.000000,                                                 1,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          362,           3,                                           3,                                    1.000000,                                                 5,                                          1.000000,                                                 0,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          363,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          364,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          365,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 4,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
          366,           3,                                           3,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          3,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
